,,,,,,"RG DISTRIBUCIONES
VELEZ SARSFIELD 659    ",,,,,,,
,,,,,,,,,,,,,
Artículos,,,,,,,,,,,,,
,,,,,,,,,,,,,
Código,Artículo,Código Proveedor,Proveedor,Cod. Barra,Rubro,Costo,Lista 1,Lista 2,Lista 3,Lista 4,Lista 5,Actualización,Stock
665,ALF. MILKA MOUSSE TRIPLE 55grs,,ANDRETICH DISTRIBUCIONES SRL,,ALFAJORES,"806,61","1265,69","1.215,06","1.316,32","1.164,44","0,00",15/8/2025,19
309,ALF. MILKA OREO TORTA 55grs,,ANDRETICH DISTRIBUCIONES SRL,159,ALFAJORES,"806,61","1219,99","1.171,20","1.317,59","1.122,40","1.204,94",30/6/2025,-19
693,ALF. MINIFANTOCHE 150grs BLANCO,,HUGO NICEBE,520,ALFAJORES,"884,95","1395,52","1.341,85","1.449,19","1.234,50","0,00",19/8/2025,29
115,ALF. MINIFANTOCHE 150grs NEGRO,,HUGO NICEBE,520,ALFAJORES,"884,95","1395,52","1.341,85","1.449,19","0,00","0,00",19/8/2025,67
311,ALF. OREO 55GRS,,ANDRETICH DISTRIBUCIONES SRL,160,ALFAJORES,"806,61","1219,99","1.171,20","1.317,59","1.122,40","1.204,94",1/6/2025,-169
312,ALF. PEPITOS 57GRS,,ANDRETICH DISTRIBUCIONES SRL,158,ALFAJORES,"806,61","1265,69","1.215,06","1.366,95","1.164,44","0,00",15/8/2025,30
242,ALF. RASTA BLANCO 70GRS,,DISTRIBUCIONES SYM SAS,967,ALFAJORES,"587,69","938,66","888,88","995,55","782,22","0,00",12/8/2025,329
243,ALF. RASTA NEGRO 70GRS,,DISTRIBUCIONES SYM SAS,968,ALFAJORES,"587,69","938,66","888,88","959,99","782,22","0,00",12/8/2025,573
660,ALF. SHOT PASTA DE MANI SIMPLE 44grs,,ANDRETICH DISTRIBUCIONES SRL,90,ALFAJORES,"511,73","773,99","743,04","835,92","712,07","814,73",30/5/2025,150
5,ALF. TATIN SIMPLE 33GRS BLANCO,,HUGO NICEBE,394,ALFAJORES,"212,72","335,46","322,56","348,36","296,75","0,00",14/8/2025,206
6,ALF. TATIN SIMPLE 33GRS NEGRO,,HUGO NICEBE,830,ALFAJORES,"212,72","334,61","321,74","347,48","296,00","270,94",28/7/2025,62
7,ALF. TATIN TRIPLE 60GRS BLANCO,,HUGO NICEBE,826,ALFAJORES,"402,71","635,04","610,61","659,46","561,76","0,00",14/8/2025,15
