Código,SKU,Descripción,Descripción ampliada,Tipo de producto/servicio,Importe de compra,Importe de venta
370,,GOM. MOGUL DIENTE 5OOGRS,,Productos ,"$ 4.307,20","$5.211,71 "
935,,GOM. MOGUL DIENTITOS 50GRS 10U,,Productos ,"$ 5.327,86","$6.446,71 "
949,,GOM. MOGUL EXTREME OSO 500GRS,,Productos ,"$ 4.046,18","$4.895,88 "
797,,GOM. MOGUL EXTREME OSO 50GRS 10U,,Productos ,"$ 5.671,59","$6.862,62 "
799,,GOM. MOGUL EXTREME ROCKS 45GRS 10U,,Productos ,"$ 5.671,59","$6.862,62 "
798,,GOM. MOGUL EXTREME SANDIA ACIDA 5OGRS 10U,,Productos ,"$ 5.671,59","$6.862,62 "
747,,GOM. MOGUL EXTREME TUBITOS 20GRS 16U FRUTILLA,,Productos ,"$ 3.679,73","$4.452,47 "
824,,GOM. MOGUL FRUTILLA ACIDA 500GRS,,Productos ,"$ 4.307,20","$5.211,71 "
796,,GOM. MOGUL FRUTILLA Y CREMA 500GRS,,Productos ,"$ 4.307,20","$5.211,71 "
597,,GOM. MOGUL GUSANITOS ACIDOS 500GRS,,Productos ,"$ 4.307,20","$5.211,71 "
243,,GOM. MOGUL MORAS 500GRS,,Productos ,"$ 4.307,20","$5.211,71 "
934,,GOM. MOGUL MORITAS 50GRS 10U,,Productos ,"$ 5.327,86","$6.446,71 "
937,,GOM. MOGUL OSITOS 30GRS 12U,,Productos ,"$ 3.888,24","$4.704,77 "
702,,GOM. MOGUL OSITOS 500GRS,,Productos ,"$ 4.307,20","$5.211,71 "
938,,GOM. MOGUL PIECITOS 30GRS 12U,,Productos ,"$ 3.888,24","$4.704,77 "
712,,GOM. MOGUL SANDIA 500GRS,,Productos ,"$ 4.307,20","$5.211,71 "
939,,GOM. MOGUL TIBURONCITOS 30GRS 12U,,Productos ,"$ 3.888,24","$4.704,77 "
620,,GOM.MOGUL ANILLO 1KG,,Productos ,"$ 6.861,02","$8.301,84 "
810,,HUEVO DE PASCUA COFLER BLOCKAZO 1KG,,Productos ,"$ 0,83","$1,01 "
883,,MEDIA TARDE CLASICA 105GRS,,Productos ,"$ 218,05","$263,84 "
440,,MENTA CRISTAL ARCOR 810GRS,,Productos ,"$ 7.280,89","$8.809,88 "
322,,MENTHOPLUS X12,,Productos ,"$ 3.740,48","$4.525,98 "
244,,OBLEA BON O BOM X20U,,Productos ,"$ 491,99","$595,31 "
481,,SAQUITO FRUTAL ARCOR 810GRS,,Productos ,"$ 5.413,66","$6.550,53 "
359,,TOPLINE SEVEN,,Productos ,"$ 7.605,67","$9.202,86 "
358,,TOPLINE TABLETA 20U,,Productos ,"$ 4.607,70","$5.575,32 "
395,,CHOCOLINA BAGLEY 250GRS,,Productos ,"$ 1.528,78","$1.849,82 "
529,,GALL. MERENGADAS 93GRS,,Productos ,"$ 811,04","$981,36 "
530,,GALL. RUMBA 112GRS,,Productos ,"$ 811,04","$981,36 "
528,,GALL. SONRISAS 180GRS,,Productos ,"$ 811,04","$981,36 "
807,,OBLEA OPERA 55GRS,,Productos ,"$ 460,12","$556,75 "
445,,SURTIDO BAGLEY 400GRS,,Productos ,"$ 1.858,58","$2.248,88 "
860,,GOM. FUNDIPPERZ FRUTAL + GEL ACIDO,,Productos ,"$ 0,83","$1,00 "
588,,PUSH POP CHUPETIN 15GRS 20U,,Productos ,"$ 417,64","$505,35 "
771,,RING POP CHUPETIN 10GRS 24U,,Productos ,"$ 6.121,52","$7.407,04 "
744,,RING POP CHUPETIN 14GRS 12U,,Productos ,"$ 3.060,76","$3.703,52 "
545,,ENCENDEDOR BIC MINI,,Productos ,"$ 667,27","$807,40 "
513,,ENCENDEDORES BIC MAXI,,Productos ,"$ 896,25","$1.084,46 "
341,,BILLIKEN MASTICABLE 600GRS,,Productos ,"$ 2.680,69","$3.243,64 "
930,,BULL DOG REGALIZ 18GRS DISPLAY 12U,,Productos ,"$ 2.248,03","$2.720,12 "
219,,PASTILLA LA YAPA X36U,,Productos ,"$ 231,41","$280,01 "
855,,CHIC. BLUPER BOLON TIRA 30 X 4U,,Productos ,"$ 6.382,33","$7.722,62 "
861,,CHIC. BLUPER CONFITE CAJITA LOCA 6U,,Productos ,"$ 2.689,69","$3.254,53 "
858,,CHIC. BLUPER HUEVO MEDIANO 400GRS,,Productos ,"$ 2.925,27","$3.539,58 "
857,,CHIC. BLUPER MAXI FRUTAS 30U,,Productos ,"$ 2.925,27","$3.539,58 "
859,,CHIC. BLUPER PELOTA TENIS 400GRS,,Productos ,"$ 2.925,27","$3.539,58 "
856,,CHIC. BLUPER PERLAS DE UNICORNIOS 30 X 4U,,Productos ,"$ 6.382,33","$7.722,62 "
863,,CHIC. BLUPER TIZA 400GRS,,Productos ,"$ 2.925,27","$3.539,58 "
664,,ALMENDRAS VIZZIO C/CHOC. 72GRS 20U,,Productos ,"$ 480,60","$581,52 "
652,,CEREAL VIZZIO C/ CHOC. 72GRS X20U,,Productos ,"$ 346,02","$418,68 "
614,,CHOC. VIZZIO TABLETA 165GRS X10U,,Productos ,"$ 154,46","$186,90 "
605,,CHOC. VIZZIO TABLETA X85GRS,,Productos ,"$ 278,94","$337,52 "
854,,MANI C/ CHOCOLATE VIZZIO 72GRS,,Productos ,"$ 297,97","$360,54 "
624,,CHIC. OPEN CANDY GUMBAL 7U 18TIRAS,,Productos ,"$ 0,83","$1,00 "
845,,CHIC. OPEN CANDY GUMBALLS 4U 18 TIRAS,,Productos ,"$ 0,83","$1,00 "
226,,CHUP. SUPER TATTO 600GRS 50U,,Productos ,"$ 3.926,43","$4.750,98 "
408,,CARAMENTOL 750GRS,,Productos ,"$ 3.955,38","$4.786,01 "
477,,NAIPE HABANA X40U,,Productos ,"$ 1.531,82","$1.853,50 "
476,,NAIPE HABANA X50U,,Productos ,"$ 1.971,14","$2.385,08 "
424,,BOMBUCHAS 100U GLOBITOS P/AGUA,,Productos ,"$ 853,34","$1.032,54 "
111,,AGRIDULCE DON SATUR 200GRS,,Productos ,"$ 627,72","$759,54 "
647,,BUDINES DON SATUR 190GRS,,Productos ,"$ 973,07","$1.177,41 "
112,,GRASITAS DON SATUR 200GRS,,Productos ,"$ 627,72","$759,54 "
366,,MAGDALENAS DON SATUR 200GRS,,Productos ,"$ 1.377,76","$1.667,09 "
113,,NEGRITAS DON SATUR 200GRS,,Productos ,"$ 627,72","$759,54 "
668,,PAN D. DON SATUR C/ CHIPS DE CHOCOLATE X400GRS,,Productos ,"$ 2.131,32","$2.578,90 "
648,,PAN D. DON SATUR C/FRUTA X400GRS,,Productos ,"$ 2.131,32","$2.578,90 "
777,,PAN D. DON SATUR S/ FRUTAS,,Productos ,"$ 1.918,19","$2.321,01 "
942,,PAN D. EL MUELLE C/ FRUTAS 400GRS,,Productos ,"$ 1.136,27","$1.374,89 "
224,,BAY BISCUIT X140 GRS,,Productos ,"$ 770,40","$932,19 "
55,,AROS DE PAPA SABOR CEBOLLA-CREMA 300 GRS,,Productos ,"$ 3.861,95","$4.672,96 "
50,,TUTUCAS DOS SABLES 1000GRS,,Productos ,"$ 2.869,94","$3.472,63 "
457,,BIZCOCHOS EL REY  CLASICO 160GRS,,Productos ,"$ 970,50","$1.174,31 "
684,,BIZCOCHOS EL REY SABOR MANTECA 160GRS,,Productos ,"$ 970,50","$1.174,31 "
459,,BIZCOCHOS EL REY SABOR PIZZA 170GRS,,Productos ,"$ 970,50","$1.174,31 "
458,,BIZCOCHOS EL REY SABOR QUESO 180GRS,,Productos ,"$ 970,50","$1.174,31 "
966,,ALF. FANTOCHE ELIXIR 70GRS BLANCO,,Productos ,"$ 578,09","$699,49 "
965,,ALF. FANTOCHE ELIXIR 70GRS NEGRO,,Productos ,"$ 578,09","$699,49 "
794,,ALF. FANTOCHE SIMPLE DAY 50GRS,,Productos ,"$ 0,83","$1,01 "
793,,ALF. FANTOCHE SIMPLE NIGHT 50GRS,,Productos ,"$ 0,83","$1,01 "
319,,ALF. FANTOCHE TRIPLE BLANCO 85GRS,,Productos ,"$ 472,07","$571,21 "
146,,ALF. FANTOCHE TRIPLE NEGRO 85GRS,,Productos ,"$ 472,07","$571,21 "
835,,BOC. FANTOCHE 28GRS  RELL DULCE DE LECHE 20U,,Productos ,"$ 3.360,72","$4.066,47 "
928,,BUDIN FANTOCHE 200GRS,,Productos ,"$ 967,07","$1.170,16 "
520,,FANTOCHE ALFAJOR MINI 150GRS,,Productos ,"$ 1.043,93","$1.263,15 "
328,,FANTOCHE ESPUMITA CON MIEL 300GR,,Productos ,"$ 902,48","$1.092,00 "
478,,FANTOCHE HORÓSCOPO 300GRS,,Productos ,"$ 996,38","$1.205,62 "
329,,FANTOCHE MARMOLADAS 350GRS,,Productos ,"$ 953,54","$1.153,78 "
452,,FANTOCHE TAPITAS MAICENA 350GRS,,Productos ,"$ 1.032,35","$1.249,14 "
808,,"FANTOCHE TAPITAS SUELTA 3,5KG",,Productos ,"$ 9.733,25","$11.777,23 "
368,,FANTOCHE YAYITAS 275GR,,Productos ,"$ 996,38","$1.205,62 "
640,,PAN D. FANTOCHE C/CHIPS 400GRS 8U,,Productos ,"$ 2.125,87","$2.572,30 "
641,,PAN D. FANTOCHE C/FRUTAS 4OOGRS 8U,,Productos ,"$ 2.125,87","$2.572,30 "
933,,PAN D. FANTOCHE MARMOLADO 400GRS 8U,,Productos ,"$ 2.067,67","$2.501,88 "
248,,ACTRON 10U,,Productos ,"$ 2.066,03","$2.499,90 "
245,,ACTRON 600 X10U,,Productos ,"$ 4.926,81","$5.961,44 "
246,,ACTRON MUJER X10U,,Productos ,"$ 2.202,91","$2.665,52 "
247,,ACTRON PLUS 8U,,Productos ,"$ 2.776,05","$3.359,02 "
249,,AGUA OXIGENADA VOL10,,Productos ,"$ 465,21","$562,91 "
250,,ALCOHOL PORTA X250 GRS,,Productos ,"$ 88,45","$107,03 "
251,,ALCOHOL X500CC,,Productos ,"$ 235,31","$284,72 "
252,,ALIKAL SOBRE 30U,,Productos ,"$ 581,82","$704,00 "
494,,ALMAXIMO MASTICABLE X2U,,Productos ,"$ 251,76","$304,63 "
253,,AMOXICILINA X8U,,Productos ,"$ 1.108,46","$1.341,24 "
337,,ANAFLEX X20U,,Productos ,"$ 2.146,85","$2.597,69 "
254,,ASPIRINETAS T14U,,Productos ,"$ 621,98","$752,60 "
544,,AZUFRE X5U,,Productos ,"$ 34,44","$41,67 "
258,,BAYASPIRINA,,Productos ,"$ 1.402,81","$1.697,40 "
255,,BAYASPIRINA C 24U,,Productos ,"$ 614,93","$744,06 "
256,,BAYASPIRINA C. CAL X24U,,Productos ,"$ 933,95","$1.130,08 "
257,,BAYASPIRINA FORTE X80U,,Productos ,"$ 63,15","$76,41 "
