Código,SKU,Descripción,Descripción ampliada,Tipo de producto/servicio,Importe de compra,Importe de venta
426,,LAMPARAS LEDS 9W,,Productos ,"$ 694,64","$840,52 "
560,,PAÑUELITO CANDELA 6U,,Productos ,"$ 1.610,96","$1.949,26 "
735,,PAÑUELITO ELITE X6U,,Productos ,"$ 1.100,92","$1.332,11 "
718,,COPITOS JORGITOS 34GRS 12U,,Productos ,"$ 748,60","$905,81 "
680,,GALLINITA OBLEA 25U,,Productos ,"$ 2.632,34","$3.185,13 "
693,,HELADITOS OBLEA 25U,,Productos ,"$ 2.596,05","$3.141,22 "
365,,JUGO CLIGHT,,Productos ,"$ 4.741,61","$5.737,35 "
182,,JUGO DODI X15U,,Productos ,"$ 2.524,05","$3.054,10 "
307,,JUGO TANG,,Productos ,"$ 4.770,89","$5.772,78 "
183,,CAÑONCITOS KOKIS 200GRS,,Productos ,"$ 697,43","$843,89 "
184,,CAÑONCITOS KOKIS 500GRS,,Productos ,"$ 1.594,33","$1.929,14 "
185,,MEMBRILLITOS KOKIS 200GRS,,Productos ,"$ 697,43","$843,89 "
186,,MEMBRILLITOS KOKIS 500GRS,,Productos ,"$ 1.594,33","$1.929,14 "
925,,OBLEAS RECITAL 100GRS,,Productos ,"$ 397,22","$480,64 "
921,,ALF. LA DUQUESA NEGRO 80GRS,,Productos ,"$ 694,21","$840,00 "
779,,POST. KROOMY 10GRS 24U,,Productos ,"$ 2.603,46","$3.150,19 "
694,,JUGOS PEPITOS 160CC 18U,,Productos ,"$ 299,79","$362,74 "
911,,GALL. PROVIDENCIA CRACKERS 303GRS,,Productos ,"$ 707,83","$856,48 "
355,,LEIVA ARROZ 150GRS,,Productos ,"$ 842,45","$1.019,37 "
374,,LEIVA MARINERA SIN SAL,,Productos ,"$ 891,55","$1.078,78 "
410,,LEIVA SALVADO X345GRS,,Productos ,"$ 889,40","$1.076,18 "
373,,LEIVA SANDWICH LIGHT X3,,Productos ,"$ 879,42","$1.064,10 "
314,,LEIVA SANDWICH X3,,Productos ,"$ 834,90","$1.010,23 "
187,,CARAMELO PICO DULCE 450GRS 90U,,Productos ,"$ 3.984,61","$4.821,38 "
190,,CHUP. PICO DULCE 48U,,Productos ,"$ 6.574,51","$7.955,16 "
599,,CHUP. PITO PITO FRUTAL X24U,,Productos ,"$ 2.229,69","$2.697,93 "
188,,CHUPETON-CITO X12U,,Productos ,"$ 5.308,41","$6.423,18 "
189,,PICO DULCE MASTICABLE 500GRS 165U,,Productos ,"$ 2.718,99","$3.289,98 "
650,,POST. LHERITHIER 100GRS,,Productos ,"$ 615,36","$744,58 "
193,,ALKA ACIDOS/CREMOSO X800 GRS,,Productos ,"$ 6.277,28","$7.595,51 "
194,,ALKA FRUTILLA/MENTA/NEGRO X1KG,,Productos ,"$ 6.277,28","$7.595,51 "
922,,ALKA PASTILLAS 29.4 GRS 12U,,Productos ,"$ 2.081,47","$2.518,58 "
590,,BOMB. LIA SURTIDO ESPECIAL 223GRS,,Productos ,"$ 2.889,79","$3.496,65 "
823,,BOMBON. HAMLET 13GRS 30U,,Productos ,"$ 1.853,06","$2.242,20 "
195,,DANCING BOCADITOS X50U,,Productos ,"$ 4.744,40","$5.740,72 "
957,,GALL. CHOCOLIA 170GRS,,Productos ,"$ 662,81","$802,00 "
964,,GALL. SURTIDO LIA 400GRS,,Productos ,"$ 1.193,60","$1.444,25 "
206,,HAMLET 42GRS,,Productos ,"$ 461,69","$558,65 "
200,,HAMLET MEGA  170GRS,,Productos ,"$ 1.588,79","$1.922,44 "
212,,MEDIA TARDE 315GRS 14U TRIPACK,,Productos ,"$ 837,55","$1.013,44 "
211,,MEDIA TARDE SANDWICH 107GRS,,Productos ,"$ 911,98","$1.103,49 "
792,,OBLEA HAMLETON 28GRS 16U,,Productos ,"$ 5.499,97","$6.654,96 "
537,,POLVORITAS 81GRS,,Productos ,"$ 340,53","$412,04 "
208,,SAPITO ROSPO X24U,,Productos ,"$ 3.717,50","$4.498,17 "
210,,SURTIDO DESFILE 398GRS,,Productos ,"$ 1.193,60","$1.444,25 "
825,,VOCACION ACARAMELADA 145 GRS 30U,,Productos ,"$ 380,25","$460,10 "
213,,VOCACION ACARAMELADA 450GRS TRIPACK,,Productos ,"$ 1.296,09","$1.568,27 "
214,,VOCACION CLASICA 128GRS TRIPACK,,Productos ,"$ 1.267,24","$1.533,36 "
540,,CAR. SUPER ACIDO LIPO 454GRS,,Productos ,"$ 2.105,90","$2.548,14 "
181,,GAJITOS SURTIDOS LIPO 907GRS,,Productos ,"$ 3.603,71","$4.360,49 "
364,,TOST MANIERI C/CHIA,,Productos ,"$ 0,99","$1,20 "
915,,TOST. MANIERI DULCE 200GRS,,Productos ,"$ 641,11","$775,74 "
409,,TOST. MANIERI LIGHT,,Productos ,"$ 726,56","$879,14 "
330,,TOST. MANIERI SALADA 200GRS,,Productos ,"$ 641,11","$775,74 "
475,,TOST. MANIERI SALVADO,,Productos ,"$ 641,11","$775,74 "
423,,TOST. MANIERI SIN SAL,,Productos ,"$ 641,11","$775,74 "
130,,BANDEJA DE PALMERITAS 230GRS,,Productos ,"$ 1.373,12","$1.661,48 "
302,,NEVADITOS MANJARES 180GRS,,Productos ,"$ 698,35","$845,00 "
131,,PALMERITAS MINI 230GRS,,Productos ,"$ 975,79","$1.180,71 "
697,,PALMERITAS MINI X2KG,,Productos ,"$ 1.206,50","$1.459,87 "
110,,GALLETITAS DULCES MANOLITO 250GRS,,Productos ,"$ 380,26","$460,11 "
837,,CHUP. MARENGO CORAZON PINTA LENGUA 50U,,Productos ,"$ 2.658,20","$3.216,42 "
606,,CHUPALETA MULTICOLOR MARENGO 350GRS 24U,,Productos ,"$ 2.658,20","$3.216,42 "
549,,MARENGO EUCALIPTO,,Productos ,"$ 2.936,64","$3.553,33 "
114,,TOST. MARINOZZI DULCE 200GRS,,Productos ,"$ 736,35","$890,98 "
115,,TOST.MARINOZZI LIGHT 200GRS,,Productos ,"$ 736,35","$890,98 "
116,,TOST.MARINOZZI MESA 200GRS,,Productos ,"$ 736,35","$890,98 "
119,,TOST.MARINOZZI SALVADO 200GRS,,Productos ,"$ 736,35","$890,98 "
117,,TOST.MARINOZZI SEMILLA 200GRS,,Productos ,"$ 736,35","$890,98 "
118,,TOST.MARINOZZI SIN SAL 200GRS,,Productos ,"$ 736,35","$890,98 "
472,,FAUNA MAURI X400GRS,,Productos ,"$ 1.095,87","$1.326,00 "
471,,MAURI S/SAL 400GRS,,Productos ,"$ 1.402,07","$1.696,50 "
470,,VAINILLA MAURI 320GRS,,Productos ,"$ 1.364,46","$1.651,00 "
542,,VAINILLA MAURI X800GRS,,Productos ,"$ 425,11","$514,39 "
469,,VAINILLAS MAURI 160GRS,,Productos ,"$ 709,09","$858,00 "
548,,MENTITAS LA CASA 26GRS 12U,,Productos ,"$ 3.158,98","$3.822,36 "
338,,PASTILLITA BULL DOG 12U MIX,,Productos ,"$ 3.406,83","$4.122,26 "
969,,CHOC. MILKA 20GRS,,Productos ,"$ 606,60","$733,98 "
817,,CHOC. MILKA ALMENDRAS 55GRS,,Productos ,"$ 2.142,31","$2.592,20 "
818,,CHOC. MILKA BLANCO 55GRS,,Productos ,"$ 2.142,31","$2.592,20 "
816,,CHOC. MILKA CASTAÑAS 55GRS,,Productos ,"$ 2.142,31","$2.592,20 "
829,,CHOC. MILKA DDL 68GRS,,Productos ,"$ 1.569,40","$1.898,98 "
815,,CHOC. MILKA LECHE 55GRS,,Productos ,"$ 2.142,31","$2.592,20 "
976,,CHOC. MILKA LEGER ALMENDRAS 50GRS,,Productos ,"$ 2.067,30","$2.501,43 "
975,,CHOC. MILKA LEGER COMBINADO 50GRS,,Productos ,"$ 2.067,30","$2.501,43 "
820,,CHOC. MILKA LEGER LECHE 50GRS,,Productos ,"$ 2.067,30","$2.501,43 "
819,,CHOC. MILKA OREO BLANCO 55GRS,,Productos ,"$ 2.142,31","$2.592,20 "
828,,CHOC. SHOT 35GRS,,Productos ,"$ 752,88","$910,98 "
974,,KIT MILKA LEGER  (LEGER $2354.81 CP $1253.13),,Productos ,"$ 47.457,88","$57.424,03 "
179,,CAR. MASTICABLE MISKY 800GRS,,Productos ,"$ 3.893,76","$4.711,45 "
454,,CHERRY MISKY X465GRS,,Productos ,"$ 2.787,77","$3.373,20 "
387,,CHOC. MISKY 10U TAZA SEMI AMARGO,,Productos ,"$ 1.427,84","$1.727,69 "
174,,CHOCOLATE MISKY BLANCO/NEGRO 25GRS,,Productos ,"$ 537,55","$650,43 "
173,,CHOCOLATE MISKY BLANCO/NEGRO 50GRS,,Productos ,"$ 935,61","$1.132,09 "
175,,CHOCOLATE MISKY BLANCO/NEGRO 8GRS 20U,,Productos ,"$ 4.024,52","$4.869,67 "
349,,CHUP. COSMO 40U,,Productos ,"$ 2.756,44","$3.335,29 "
176,,GOM. MISKY EUCALIPTO 1KG,,Productos ,"$ 4.784,54","$5.789,29 "
177,,GOM. MISKY FANTASIA 1KG,,Productos ,"$ 4.784,54","$5.789,29 "
178,,GOM. MISKY JELLY ROL 1KG,,Productos ,"$ 4.784,54","$5.789,29 "
180,,TURRON MISKY 25GRS 50U,,Productos ,"$ 128,58","$155,58 "
135,,9 DE ORO AGRIDULCE 200GRS,,Productos ,"$ 556,56","$673,44 "
137,,9 DE ORO AZUCARADO 210GRS,,Productos ,"$ 556,56","$673,44 "
136,,9 DE ORO CLASICO 200GRS,,Productos ,"$ 556,56","$673,44 "
139,,9 DE ORO LIGHT 200GRS,,Productos ,"$ 530,07","$641,38 "
666,,9 DE ORO SALVADO 200GRS,,Productos ,"$ 530,07","$641,38 "
827,,GALL. 9 DE ORO ANILLITOS 120GRS VAINILLA,,Productos ,"$ 194,84","$235,75 "
871,,GALL. 9 DE ORO COOKIES C/ CHIPS DE CHOCOLATE 120GR,,Productos ,"$ 403,46","$488,19 "
803,,GALL. 9 DE ORO PEPAS MEMBRILLO 380GRS,,Productos ,"$ 1.101,44","$1.332,74 "
140,,PASEO CON SALVADO X300 GRS,,Productos ,"$ 780,57","$944,49 "
141,,PASEO CRACKERS X300GRS,,Productos ,"$ 626,74","$758,35 "
142,,PASEO MINIMARINERA X220GRS,,Productos ,"$ 427,35","$517,09 "
460,,PASEO MULTICEREAL X300GRS,,Productos ,"$ 779,80","$943,56 "
297,,PASEO SEMILLA X300GRS,,Productos ,"$ 779,80","$943,56 "
308,,PASEO SÉSAMO X300GRS,,Productos ,"$ 780,90","$944,89 "
143,,PASEO SIN SAL X300GRS,,Productos ,"$ 626,74","$758,35 "
218,,BELDENT X20U,,Productos ,"$ 9.041,86","$10.940,65 "
144,,BUBALOO X60U,,Productos ,"$ 4.346,53","$5.259,30 "
437,,CARAMELO 1/2 HORA 800GRS 200U,,Productos ,"$ 9.964,13","$12.056,60 "
714,,CHOC. CADBURY 72GRS ALMENDRAS,,Productos ,"$ 2.426,19","$2.935,69 "
715,,CHOC. CADBURY 82GRS TRES SUEÑOS,,Productos ,"$ 2.426,19","$2.935,69 "
716,,CHOC. CADBURY 82GRS YOGHURT FRUTILLA,,Productos ,"$ 2.426,19","$2.935,69 "
145,,HALLS X12U,,Productos ,"$ 6.383,06","$7.723,50 "
376,,MASITAS PEPITOS,,Productos ,"$ 1.126,83","$1.363,46 "
159,,MILKA ALFAJOR 70GRS,,Productos ,"$ 996,81","$1.206,14 "
740,,MINI OREO 50GRS,,Productos ,"$ 597,41","$722,87 "
160,,OREO ALFAJOR 55GRS,,Productos ,"$ 996,81","$1.206,14 "
924,,PALITO DE LA SELVA 480GRS CAJA,,Productos ,"$ 3.565,84","$4.314,67 "
158,,PEPITOS ALFAJOR X57GRS,,Productos ,"$ 996,81","$1.206,14 "
161,,TERRABUSI ALFAJOR X70GRS,,Productos ,"$ 996,81","$1.206,14 "
162,,TRISHOT ALFAJOR X60GRS,,Productos ,"$ 996,81","$1.206,14 "
340,,CELOSAS 350GRS,,Productos ,"$ 1.254,59","$1.518,05 "
351,,BANANA DOLCA 14GRS 16U,,Productos ,"$ 6.485,31","$7.847,22 "
497,,BANANA DOLCA 30GRS 16U,,Productos ,"$ 11.207,68","$13.561,29 "
847,,CHOC. NESTLE TABLETA C/ MANI 33GRS 15U,,Productos ,"$ 187,71","$227,13 "
622,,KIT KAT FINGER 41GRS 24U,,Productos ,"$ 920,96","$1.114,36 "
940,,ALF. NEVARES 40GRS 40U BLANCO,,Productos ,"$ 139,78","$169,13 "
941,,ALF. NEVARES 40GRS 40U NEGRO,,Productos ,"$ 139,78","$169,13 "
525,,ALFAJOR MOGY X38GR,,Productos ,"$ 156,95","$189,91 "
682,,BUDIN NEVARES FANTASIA 160GRS 10U,,Productos ,"$ 193,02","$233,56 "
972,,GALL. AIRES DE LUJAN 180GRS CHOCOLATE Y ALMENDRAS,,Productos ,"$ 570,01","$689,71 "
951,,GALL. PASTAFROLA AIRES DE LUJAN 50GRS,,Productos ,"$ 168,88","$204,35 "
519,,PIC NIC RELLENO DDL 35GRS 40U,,Productos ,"$ 172,55","$208,79 "
496,,RAPSODIA MINITORTA NEVARES 24U,,Productos ,"$ 301,77","$365,14 "
493,,TURRON DE MANI NEVARES 50U,,Productos ,"$ 112,40","$136,01 "
846,,GALL. NOGALI SANWICH 300GRS,,Productos ,"$ 663,45","$802,77 "
610,,BOMBOM OBLITA X30U,,Productos ,"$ 704,78","$852,79 "
895,,BOMBON OBLITA X30U,,Productos ,"$ 4.396,73","$5.320,04 "
377,,CUBANITOS OBLITA X48U,,Productos ,"$ 2.360,93","$2.856,72 "
406,,OBLEAS OBLITA 100GRS,,Productos ,"$ 468,55","$566,94 "
468,,OBLEAS OBLITA 50GRS,,Productos ,"$ 251,18","$303,93 "
556,,FRUTOMILA X100U,,Productos ,"$ 2.627,25","$3.178,97 "
683,,BATATA PEDRIN X70GRS,,Productos ,"$ 86,64","$104,83 "
401,,CHALITAS PEDRIN 300GRS,,Productos ,"$ 3.524,56","$4.264,72 "
399,,CHALITAS PEDRIN 40GRS,,Productos ,"$ 696,83","$843,17 "
383,,CHIZITOS PEDRIN 80GRS,,Productos ,"$ 738,65","$893,77 "
505,,CHIZITOS PEDRIN X550GRS,,Productos ,"$ 3.158,30","$3.821,54 "
388,,CONITOS PEDRIN X70GRS,,Productos ,"$ 322,26","$389,93 "
636,,MANI PELADO PEDRIN 1000GR,,Productos ,"$ 325,83","$394,25 "
390,,MANI SALADO PEDRIN 140GRS,,Productos ,"$ 860,98","$1.041,78 "
384,,PALITOS PEDRIN 180GRS,,Productos ,"$ 738,65","$893,77 "
638,,PALITOS PEDRIN 700GRS,,Productos ,"$ 2.431,79","$2.942,47 "
403,,PAPAS A LA CREMA PEDRIN X70GRS,,Productos ,"$ 1.461,06","$1.767,88 "
400,,PAPAS PEDRIN 700GRS,,Productos ,"$ 6.864,89","$8.306,52 "
382,,PAPAS PEDRIN 70GRS,,Productos ,"$ 950,29","$1.149,85 "
405,,PAPAS PEDRIN SABOR JAMON X70GRS,,Productos ,"$ 1.461,06","$1.767,88 "
404,,PAPAS PEDRIN SABOR PROVENZAL X70GRS,,Productos ,"$ 1.461,06","$1.767,88 "
434,,PIZZETIN PEDRIN 600GRS,,Productos ,"$ 3.796,22","$4.593,43 "
389,,PIZZINES PEDRIN,,Productos ,"$ 70,61","$85,44 "
463,,SURTIDO PEDRIN 120GRS,,Productos ,"$ 1.440,58","$1.743,10 "
862,,AVENA QUAKER TRADICIONAL 280GRS,,Productos ,"$ 674,54","$816,20 "
890,,CHEETOS ONDULADOS SABOR QUESO CREMA 85GRS,,Productos ,"$ 1.721,36","$2.082,85 "
657,,CHEETOS QUESO 43GRS,,Productos ,"$ 1.020,07","$1.234,28 "
670,,CHEETOS QUESO 85GRS,,Productos ,"$ 1.721,36","$2.082,85 "
661,,CONITOS 3DMEGA QUESO 43GRS,,Productos ,"$ 1.020,07","$1.234,28 "
676,,CONITOS 3DMEGA QUESO 92GRS,,Productos ,"$ 1.721,36","$2.082,85 "
868,,DORITOS DINAMITA FH 70GRS,,Productos ,"$ 1.721,36","$2.082,85 "
656,,DORITOS QUESO 45GRS,,Productos ,"$ 1.020,07","$1.234,28 "
669,,DORITOS QUESO 77GRS,,Productos ,"$ 1.721,36","$2.082,85 "
954,,DORITOS SWEET CHILI 74GRS,,Productos ,"$ 1.721,36","$2.082,85 "
802,,LAYS CHEDDAR 85GRS,,Productos ,"$ 1.721,36","$2.082,85 "
658,,LAYS CLASICAS 45GRS,,Productos ,"$ 1.020,07","$1.234,28 "
674,,LAYS CLASICAS 85GRS,,Productos ,"$ 1.721,36","$2.082,85 "
880,,LAYS FLAMIN HOT 70GRS,,Productos ,"$ 1.721,36","$2.082,85 "
773,,LAYS JAMON SERRANO 85GRS,,Productos ,"$ 1.721,36","$2.082,85 "
772,,LAYS KETCHUP 77GRS,,Productos ,"$ 1.721,36","$2.082,85 "
916,,LAYS MOSTAZA Y MIEL 77GRS,,Productos ,"$ 1.721,36","$2.082,85 "
917,,LAYS PROVOLETA 77GRS,,Productos ,"$ 1.721,36","$2.082,85 "
729,,LAYS QUESO CREMA Y CEBOLLA 77GRS,,Productos ,"$ 1.721,36","$2.082,85 "
678,,PEHUAMAR MAICITOS 125GRS,,Productos ,"$ 1.657,62","$2.005,72 "
726,,PEHUAMAR PAPAS ACANALADAS 80GRS,,Productos ,"$ 1.275,08","$1.542,85 "
727,,PEHUAMAR PAPAS LISA 80GRS,,Productos ,"$ 1.275,08","$1.542,85 "
659,,PEP RUEDITAS 74GRS,,Productos ,"$ 1.020,07","$1.234,28 "
559,,TODDY GALLETAS X126GRS,,Productos ,"$ 153,71","$185,99 "
671,,TWISTOS MINI 100GRS,,Productos ,"$ 1.721,36","$2.082,85 "
765,,ALMOHADITAS DE CEREAL PETI SABOR AVELLANAS 150GRS,,Productos ,"$ 1.235,54","$1.495,00 "
766,,ALMOHADITAS DE CEREAL PETI SABOR CHOCOLATE 150GRS,,Productos ,"$ 1.235,54","$1.495,00 "
764,,ALMOHADITAS DE CEREAL PETI SABOR FRUTILLA 150GRS,,Productos ,"$ 1.235,54","$1.495,00 "
768,,ALMOHADITAS PETI SABOR FRUTILLA 1KG,,Productos ,"$ 1.157,54","$1.400,62 "
754,,CHALITAS SABOR PIZZA PETI 60GRS,,Productos ,"$ 644,63","$780,00 "
759,,CHEDDITAS PETI SABOR CHEDDAR 50GRS,,Productos ,"$ 586,61","$709,80 "
959,,CHEESE PETI SABOR KETCHUP 60GRS,,Productos ,"$ 623,14","$754,00 "
961,,CHEESE SABOR KETCHUP PETI 80GRS,,Productos ,"$ 623,14","$754,00 "
752,,CHIZITOS SABOR QUESO PETI 80GRS,,Productos ,"$ 586,61","$709,80 "
755,,MANI C/ CASCARA PETI 200GRS,,Productos ,"$ 1.342,98","$1.625,00 "
757,,MANI SABORIZADO PETI 90GRS,,Productos ,"$ 744,55","$900,90 "
756,,MANI SALADO PELADO PETI 130GRS,,Productos ,"$ 983,06","$1.189,50 "
751,,PALITOS SALADOS JAMON SERRANO PETI 150GRS,,Productos ,"$ 885,29","$1.071,20 "
750,,PALITOS SALADOS PETI 150GRS,,Productos ,"$ 834,79","$1.010,10 "
960,,PALITOS SALADOS SABOR SALAME PETI 150GRS,,Productos ,"$ 885,29","$1.071,20 "
748,,PAPAS FRITAS CLASICA PETI 75GRS,,Productos ,"$ 1.049,67","$1.270,10 "
749,,PAPAS JAMON SERRANO PETI 70GRS,,Productos ,"$ 1.150,66","$1.392,30 "
753,,PIZZITAS SABOR PIZZA PETI 65GRS,,Productos ,"$ 553,31","$669,50 "
762,,PUFLITOS PETI 80GRS,,Productos ,"$ 504,96","$611,00 "
761,,TOSTADAS DE ARROZ PETI 120GRS,,Productos ,"$ 1.079,75","$1.306,50 "
758,,TUBITOON PETI SABOR JAMON SERRANO Y BBQ 60GRS,,Productos ,"$ 564,05","$682,50 "
760,,TUTUCAS PETI 65GRS,,Productos ,"$ 541,49","$655,20 "
428,,ENERGIZER AA 4U,,Productos ,"$ 2.768,45","$3.349,82 "
429,,ENERGIZER AAA 4U,,Productos ,"$ 2.768,45","$3.349,82 "
721,,ENERGIZER BATERIA 9V,,Productos ,"$ 363,39","$439,70 "
653,,ENERGIZER C2 X2U,,Productos ,"$ 1.201,31","$1.453,58 "
430,,ENERGIZER GRANDE D2 X2U,,Productos ,"$ 5.636,71","$6.820,42 "
665,,EVEREADY C2  2U,,Productos ,"$ 535,20","$647,59 "
431,,EVEREDY AA X4U,,Productos ,"$ 1.967,29","$2.380,42 "
432,,EVEREDY AAA X2U,,Productos ,"$ 1.017,72","$1.231,44 "
433,,EVEREDY GRANDE D2 X2U,,Productos ,"$ 2.552,74","$3.088,82 "
946,,PIPAS CRACK TALITAS 100GRS,,Productos ,"$ 700,55","$847,67 "
927,,PIPAS GIGANTES EN TIRA 10U,,Productos ,"$ 1.909,07","$2.309,98 "
407,,PIPAS GIGANTES GIRASOL 12U,,Productos ,"$ 5.909,91","$7.150,99 "
352,,PIPAS SEMILLITAS GIRASOL 30U,,Productos ,"$ 5.417,98","$6.555,76 "
461,,PIPAS SNACKS GIGANTE X150GRS,,Productos ,"$ 1.599,02","$1.934,82 "
504,,GELATINAS TREMBLY 6U 1TIRA,,Productos ,"$ 634,02","$767,17 "
724,,BOMBON LICOR PLENARIO,,Productos ,"$ 929,56","$1.124,77 "
598,,GOM. PLENARIO BANANITAS 800GRS,,Productos ,"$ 4.685,83","$5.669,85 "
356,,GOMIS PLENARIO X700GRS POTE,,Productos ,"$ 5.370,96","$6.498,86 "
396,,LENTEJAS DE CHOCOLATE X800GRS,,Productos ,"$ 15.156,20","$18.339,00 "
29,,MANI SABORIZADO PREMIER 1000 GRS,,Productos ,"$ 3.607,44","$4.365,00 "
517,,MANI SALADO PREMIER X1000GRS,,Productos ,"$ 3.719,01","$4.500,00 "
102,,MANI VAINA PREMIER X1000GRS,,Productos ,"$ 3.607,44","$4.365,00 "
192,,PROF. PRIME 3U,,Productos ,"$ 1.668,09","$2.018,39 "
967,,ALF. RASTA BLANCO 70GRS,,Productos ,"$ 743,86","$900,07 "
968,,ALF. RASTA NEGRO 70GRS,,Productos ,"$ 743,86","$900,07 "
720,,TOST RIERA MULTISEMILLA,,Productos ,"$ 781,31","$945,38 "
711,,TOST. RIERA DULCE,,Productos ,"$ 781,31","$945,38 "
672,,TOST. RIERA INTEGRAL 200GRS,,Productos ,"$ 836,00","$1.011,56 "
663,,TOST. RIERA LIGHT 200GRS,,Productos ,"$ 1.007,84","$1.219,49 "
662,,TOST. RIERA MESA 200GRS,,Productos ,"$ 836,00","$1.011,56 "
717,,TOST. RIERA SIN SAL 225GRS,,Productos ,"$ 781,31","$945,38 "
681,,MIELCITA RIVERA 50U CHICA,,Productos ,"$ 383,53","$464,07 "
791,,GALL. EKIN SOLITAS 300GRS 14U CHOCOLATE,,Productos ,"$ 969,74","$1.173,38 "
600,,MINI ALFAJOR SOLITAS 160GRS,,Productos ,"$ 1.126,94","$1.363,60 "
215,,MINI ALFAJOR SOLITAS 300GRS,,Productos ,"$ 1.921,47","$2.324,98 "
216,,BAZOOKA BANANA/MENTA X120U,,Productos ,"$ 3.966,26","$4.799,17 "
217,,BAZOOKA TUTI FRUTA X120U,,Productos ,"$ 3.966,26","$4.799,17 "
813,,CHUP. PALITO DE LA SELVA 18GRS 24U,,Productos ,"$ 1.472,84","$1.782,14 "
197,,PALITOS DE LA SELVA MASTICABLE X120U,,Productos ,"$ 5.178,50","$6.265,99 "
165,,SUGUS CONFITADO  50GRS,,Productos ,"$ 737,36","$892,20 "
164,,SUGUS MASTICABLE SURTIDOS 700GRS,,Productos ,"$ 4.411,23","$5.337,59 "
163,,SUGUS MAX 70U,,Productos ,"$ 3.758,45","$4.547,73 "
886,,BOMBON MILKA OREO 19GRS,,Productos ,"$ 350,28","$423,84 "
881,,BOX SAN VALENTIN CHICO,,Productos ,"$ 4.276,85","$5.174,99 "
882,,BOX SAN VALENTIN GRANDE,,Productos ,"$ 5.617,82","$6.797,56 "
887,,CHOC. MILKA AVELLANAS ENTERA 100GRS 17U,,Productos ,"$ 2.694,73","$3.260,62 "
885,,CHOC. MILKA CHOCO PAUSE 45GRS,,Productos ,"$ 1.249,55","$1.511,95 "
891,,CHOC. MILKA COCOA 90GRS 20U,,Productos ,"$ 2.625,01","$3.176,26 "
888,,CHOC. MILKA OREO 100GRS 22U,,Productos ,"$ 2.694,73","$3.260,62 "
912,,CHOC. MILKA OREO BROWNIE 100GRS,,Productos ,"$ 2.694,73","$3.260,62 "
889,,CHOC. MILKA TRIPLE CARAMELO 90GRS 20U,,Productos ,"$ 2.524,05","$3.054,10 "
913,,CHOC. SHOT 90GRS,,Productos ,"$ 1.334,87","$1.615,19 "
948,,JUGO CLIGHT LIMONADA STEVIA,,Productos ,"$ 3.793,30","$4.589,89 "
962,,KIT MILKA CHOCOLATES (55GRS $2033.48 20GRS 733.98),,Productos ,"$ 37.402,17","$45.256,63 "
884,,MANTECOL BAÑADO 20GRS,,Productos ,"$ 342,07","$413,90 "
867,,MANTECOL LINGOTE 500GRS,,Productos ,"$ 4.432,17","$5.362,92 "
305,,MASITAS OREO 118GRS,,Productos ,"$ 1.222,34","$1.479,03 "
821,,MASITAS OREO BAÑADA BOLSA 7U,,Productos ,"$ 658,67","$797,00 "
877,,MASITAS OREO CHOCOLATE 118GRS,,Productos ,"$ 859,29","$1.039,74 "
879,,MASITAS OREO FRUTILLA 118GRS,,Productos ,"$ 859,29","$1.039,74 "
878,,MASITAS OREO GOLDEN 118GRS,,Productos ,"$ 859,29","$1.039,74 "
897,,MASITAS OREO SIN TACC 95GRS,,Productos ,"$ 1.125,95","$1.362,40 "
851,,MINI PEPITOS 50GRS,,Productos ,"$ 597,41","$722,87 "
723,,MINI RHODESIA 45GRS,,Productos ,"$ 1.235,11","$1.494,48 "
121,,RHODESIA X36U,,Productos ,"$ 593,27","$717,86 "
120,,TITA X36 U,,Productos ,"$ 520,07","$629,29 "
486,,VARIEDAD CHOCOLATE TERRABUSSI,,Productos ,"$ 1.819,09","$2.201,10 "
485,,VARIEDAD DORADA TERRABUSSI,,Productos ,"$ 1.819,09","$2.201,10 "
122,,VARIEDAD TERRABUSSI  MIX 390GRS,,Productos ,"$ 1.649,42","$1.995,80 "
103,,PALITOS TIN,,Productos ,"$ 791,60","$957,84 "
436,,JUGUITOS TINCHO X25U,,Productos ,"$ 2.169,42","$2.625,00 "
923,,BOLITAS CAMPEONES DEL MUNDO TINKA 12U + 3U BOLÓN,,Productos ,"$ 2.247,35","$2.719,29 "
453,,GALL. CHOCOLATINA TRIO 300GRS,,Productos ,"$ 1.048,13","$1.268,24 "
541,,GALL. OSKITOS BAÑADOS TRIO 300GRS,,Productos ,"$ 1.048,13","$1.268,24 "
521,,GALL. PEPAS CHOCOTRIO 300GRS,,Productos ,"$ 1.048,13","$1.268,24 "
903,,GALL. TRIO ANILLOS COCO 300GRS,,Productos ,"$ 743,80","$899,99 "
902,,GALL. TRIO ANILLOS LIMON 300GRS,,Productos ,"$ 743,80","$899,99 "
905,,GALL. TRIO BESITOS 300GRS,,Productos ,"$ 743,80","$899,99 "
844,,GALL. TRIO FROLITAS 300GRS,,Productos ,"$ 743,80","$899,99 "
840,,GALL. TRIO FROLITAS BATATA 300GRS,,Productos ,"$ 743,80","$899,99 "
838,,GALL. TRIO GLASY 300GRS,,Productos ,"$ 743,80","$899,99 "
901,,GALL. TRIO KRUMIRI 300GRS,,Productos ,"$ 743,80","$899,99 "
900,,GALL. TRIO LINGUINI 300GRS,,Productos ,"$ 743,80","$899,99 "
908,,GALL. TRIO MARQUISE 300GRS,,Productos ,"$ 743,80","$899,99 "
